"gene_set","gene_symbol"
"OxidativePhos_neg","COX5A"
"OxidativePhos_neg","COX5B"
"OxidativePhos_neg","COX6A1"
"OxidativePhos_neg","COX6B1"
"OxidativePhos_neg","COX6C"
"OxidativePhos_neg","COX7A2"
"OxidativePhos_neg","COX7A2L"
"OxidativePhos_neg","COX7B"
"OxidativePhos_neg","COX7C"
"OxidativePhos_neg","COX8A"
"OxidativePhos_neg","CPT1A"
"OxidativePhos_neg","CS"
"OxidativePhos_neg","CYB5A"
"OxidativePhos_neg","CYB5R3"
"OxidativePhos_neg","CYC1"
"OxidativePhos_neg","CYCS"
"OxidativePhos_neg","DECR1"
"OxidativePhos_neg","DLAT"
"OxidativePhos_neg","DLD"
"OxidativePhos_neg","DLST"
"OxidativePhos_neg","ECH1"
"OxidativePhos_neg","ECHS1"
"OxidativePhos_neg","ECI1"
"OxidativePhos_neg","ETFA"
"OxidativePhos_neg","ETFB"
"OxidativePhos_neg","ETFDH"
"OxidativePhos_neg","FDX1"
"OxidativePhos_neg","FH"
"OxidativePhos_neg","FXN"
"OxidativePhos_neg","GLUD1"
"OxidativePhos_neg","GOT2"
"OxidativePhos_neg","GPI"
"OxidativePhos_neg","GPX4"
"OxidativePhos_neg","GRPEL1"
"OxidativePhos_neg","HADHA"
"OxidativePhos_neg","HADHB"
"OxidativePhos_neg","HCCS"
"OxidativePhos_neg","HSD17B10"
"OxidativePhos_neg","HSPA9"
"OxidativePhos_neg","HTRA2"
"OxidativePhos_neg","IDH1"
"OxidativePhos_neg","IDH2"
"OxidativePhos_neg","IDH3A"
"OxidativePhos_neg","IDH3B"
"OxidativePhos_neg","IDH3G"
"OxidativePhos_neg","IMMT"
"OxidativePhos_neg","ISCA1"
"OxidativePhos_neg","ISCU"
"OxidativePhos_neg","LDHA"
"OxidativePhos_neg","LDHB"
"OxidativePhos_neg","LRPPRC"
"OxidativePhos_neg","MAOB"
"OxidativePhos_neg","MDH1"
"OxidativePhos_neg","MDH2"
"OxidativePhos_neg","MFN2"
"OxidativePhos_neg","MGST3"
"OxidativePhos_neg","MPC1"
"OxidativePhos_neg","MRPL11"
"OxidativePhos_neg","MRPL15"
"OxidativePhos_neg","MRPL34"
"OxidativePhos_neg","MRPL35"
"OxidativePhos_neg","MRPS11"
"OxidativePhos_neg","MRPS12"
"OxidativePhos_neg","MRPS15"
"OxidativePhos_neg","MRPS22"
"OxidativePhos_neg","MRPS30"
"OxidativePhos_neg","MTRF1"
"OxidativePhos_neg","MTRR"
"OxidativePhos_neg","MTX2"
"OxidativePhos_neg","NDUFA1"
"OxidativePhos_neg","NDUFA2"
"OxidativePhos_neg","NDUFA3"
"OxidativePhos_neg","NDUFA4"
"OxidativePhos_neg","NDUFA5"
"OxidativePhos_neg","NDUFA6"
"OxidativePhos_neg","NDUFA7"
"OxidativePhos_neg","NDUFA8"
"OxidativePhos_neg","NDUFA9"
"OxidativePhos_neg","NDUFAB1"
"OxidativePhos_neg","NDUFB1"
"OxidativePhos_neg","NDUFB2"
"OxidativePhos_neg","NDUFB3"
"OxidativePhos_neg","NDUFB4"
"OxidativePhos_neg","NDUFB5"
"OxidativePhos_neg","NDUFB6"
"OxidativePhos_neg","NDUFB7"
"OxidativePhos_neg","NDUFB8"
"OxidativePhos_neg","NDUFC1"
"OxidativePhos_neg","NDUFC2"
"OxidativePhos_neg","NDUFS1"
"OxidativePhos_neg","NDUFS2"
"OxidativePhos_neg","NDUFS3"
"OxidativePhos_neg","NDUFS4"
"OxidativePhos_neg","NDUFS6"
"OxidativePhos_neg","NDUFS7"
"OxidativePhos_neg","NDUFS8"
"OxidativePhos_neg","NDUFV1"
"OxidativePhos_neg","NDUFV2"
"OxidativePhos_neg","NNT"
"OxidativePhos_neg","NQO2"
"OxidativePhos_neg","OAT"
"OxidativePhos_neg","OGDH"
"OxidativePhos_neg","OPA1"
"OxidativePhos_neg","OXA1L"
"OxidativePhos_neg","PDHA1"
"OxidativePhos_neg","PDHB"
"OxidativePhos_neg","PDHX"
"OxidativePhos_neg","PDK4"
"OxidativePhos_neg","PDP1"
"OxidativePhos_neg","PHB2"
"OxidativePhos_neg","PHYH"
"OxidativePhos_neg","PMPCA"
"OxidativePhos_neg","POLR2F"
"OxidativePhos_neg","POR"
"OxidativePhos_neg","PRDX3"
"OxidativePhos_neg","RETSAT"
"OxidativePhos_neg","RHOT1"
"OxidativePhos_neg","RHOT2"
"OxidativePhos_neg","SDHA"
"OxidativePhos_neg","SDHB"
"OxidativePhos_neg","SDHC"
"OxidativePhos_neg","SDHD"
"OxidativePhos_neg","SLC25A11"
"OxidativePhos_neg","SLC25A12"
"OxidativePhos_neg","SLC25A20"
"OxidativePhos_neg","SLC25A3"
"OxidativePhos_neg","SLC25A4"
"OxidativePhos_neg","SLC25A5"
"OxidativePhos_neg","SLC25A6"
"OxidativePhos_neg","SUCLA2"
"OxidativePhos_neg","SUCLG1"
"OxidativePhos_neg","SUPV3L1"
"OxidativePhos_neg","SURF1"
"OxidativePhos_neg","TCIRG1"
"OxidativePhos_neg","TIMM10"
"OxidativePhos_neg","TIMM13"
"OxidativePhos_neg","TIMM17A"
"OxidativePhos_neg","TIMM50"
"OxidativePhos_neg","TIMM8B"
"OxidativePhos_neg","TIMM9"
"OxidativePhos_neg","TOMM22"
"OxidativePhos_neg","TOMM70"
"OxidativePhos_neg","UQCR10"
"OxidativePhos_neg","UQCR11"
"OxidativePhos_neg","UQCRB"
"OxidativePhos_neg","UQCRC1"
"OxidativePhos_neg","UQCRC2"
"OxidativePhos_neg","UQCRFS1"
"OxidativePhos_neg","UQCRH"
"OxidativePhos_neg","UQCRQ"
"OxidativePhos_neg","VDAC1"
"OxidativePhos_neg","VDAC2"
"OxidativePhos_neg","VDAC3"
"Random_neg","ACTR2P2"
"Random_neg","RPS27AP8"
"Random_neg","UBA6"
"Random_neg","VN1R9P"
"Random_neg","LINC02732"
"Random_neg","RTKN2"
"Random_neg","CDK11B"
"Random_neg","MTCO2P15"
"Random_neg","EGLN2"
"Random_neg","CARD19"
"Random_neg","RNU6-339P"
"Random_neg","MIR544B"
"Random_neg","SLC11A1"
"Random_neg","TEF"
"Random_neg","TMEM78"
"Random_neg","RNU6-948P"
"Random_neg","ENSG00000227101"
"Random_neg","ENSG00000250407"
"Random_neg","KRT8P41"
"Random_neg","CCL25"
"Random_neg","BRCC3"
"Random_neg","ARAFP1"
"Random_neg","WBP4"
"Random_neg","S100A5"
"Random_neg","EIF4A1P7"
"Random_neg","ABCB10"
"Random_neg","MIR6133"
"Random_neg","ASS1P6"
"Random_neg","NFKB1-AS1"
"Random_neg","ENSG00000306183"
"Random_neg","RN7SL327P"
"Random_neg","B9D1"
"Random_neg","RNU6-380P"
"Random_neg","TRPM2-AS"
"Random_neg","SWINGN"
"Random_neg","TTBK2-AS1"
"Random_neg","SPP2"
"Random_neg","PLIN4"
"Random_neg","ALG1L7P"
"Random_neg","MTND1P27"
"Random_neg","GPR155-DT"
"Random_neg","GRIA2"
"Random_neg","ARIH1"
"Random_neg","PMS2P4"
"Random_neg","BTBD7"
"Random_neg","CENPCP1"
"Random_neg","TMEM14DP"
"Random_neg","VTA1P2"
"Random_neg","ANLN"
"Random_neg","ST18"
"Random_neg","IMPDH1P5"
"Random_neg","KCTD9P1"
"Random_neg","PYROXD1"
"Random_neg","ENSG00000303615"
"Random_neg","ZNF131"
"Random_neg","ENSG00000305122"
"Random_neg","CADM4"
"Random_neg","NUP153"
"Random_neg","MTCYBP27"
"Random_neg","BCHE"
"Random_neg","ENSG00000285254"
"Random_neg","SPATA31A7"
"Random_neg","ENSG00000200538"
"Random_neg","RNU6-321P"
"Random_neg","H2BC15"
"Random_neg","MIR6740"
"Random_neg","SNX5P2"
"Random_neg","NR2C1"
"Random_neg","ENSG00000303536"
"Random_neg","VAX2"
"Random_neg","CNOT1"
"Random_neg","PPIAL4H"
"Random_neg","LTC4S"
"Random_neg","SH3RF3"
"Random_neg","RPL7L1P5"
"Random_neg","CKM"
"Random_neg","ENSG00000309876"
"Random_neg","RPL19P1"
"Random_neg","RAG1"
"Random_neg","RANBP17"
"Random_neg","RNA5SP458"
"Random_neg","AHRR"
"Random_neg","RN7SL49P"
"Random_neg","RNU6-1247P"
"Random_neg","PEX13"
"Random_neg","PTPRD"
"Random_neg","SCML2"
"Random_neg","DEFA8P"
"Random_neg","SLC27A4"
"Random_neg","ENSG00000238819"
"Random_neg","VPS51P3"
"Random_neg","TOB1-AS1"
"Random_neg","ECEL1"
"Random_neg","LINC02275"
"Random_neg","ZNF510"
"Random_neg","RN7SKP258"
"Random_neg","NOC2LP2"
"Random_neg","MRPS35"
"Random_neg","CIDEC"
"Random_neg","RN7SL764P"
"Random_neg","MIR3185"
"Random_neg","THADA"
"Random_neg","RPS26P19"
"Random_neg","CBX7"
"Random_neg","RPSAP76"
"Random_neg","SAMD4A-AS1"
"Random_neg","UBQLN1"
"Random_neg","TRBV24OR9-2"
"Random_neg","CTSLP4"
"Random_neg","ENSG00000248648"
"Random_neg","MTND4LP11"
"Random_neg","IL12A-AS1"
"Random_neg","FAM106A"
"Random_neg","CCDC68"
"Random_neg","DNAH10OS"
"Random_neg","ENSG00000294443"
"Random_neg","OVAAL"
"Random_neg","FAM90A17"
"Random_neg","ENSG00000259530"
"Random_neg","RNA5SP527"
"Random_neg","MIR6511B2"
"Random_neg","ENTHD1"
"Random_neg","CCNG1"
"Random_neg","RNU6-236P"
"Random_neg","OR51B6"
"Random_neg","BBX"
"Random_neg","C1QTNF1"
"Random_neg","ZNF142"
"Random_neg","HEATR6-DT"
"Random_neg","TRABD-AS1"
"Random_neg","ENSG00000251239"
"Random_neg","RNU6-829P"
"Random_neg","RAP2C-AS1"
"Random_neg","C1orf54"
"Random_neg","INTS3"
"Random_neg","SNRPGP14"
"Random_neg","ERAP2"
"Random_neg","OR7E4P"
"Random_neg","ARF6"
"Random_neg","SP3"
"Random_neg","MIR3148"
"Random_neg","UROS"
"Random_neg","ITPR2"
"Random_neg","RMB8AP1"
"Random_neg","ENSG00000251126"
"Random_neg","SLC22A6"
"Random_neg","GARIN1A"
"Random_neg","MIR17"
"Random_neg","PLCG1"
"Random_neg","PRSS43P"
"Random_neg","SULT1C3"
"Random_neg","AADACL4"
"Random_neg","ENSG00000262198"
"Random_neg","ALDH16A1"
"Random_neg","LINC00540"
"Random_neg","OR10Y1P"
"Random_neg","SNX15"
